Area,Item Code,Item,Year Code,Year,Unit,Value
Afghanistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,1970.6
Afghanistan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,70
Afghanistan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,65.5
Afghanistan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,82.9
Albania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,13253.7
Albania,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,30.9
Albania,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,26.6
Albania,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,33.1
Algeria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,10735.4
Algeria,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,19
Algeria,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,18.7
Algeria,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,15.6
American Samoa,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
American Samoa,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
American Samoa,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Andorra,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Andorra,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Andorra,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Angola,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,6142
Angola,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,77.7
Angola,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,62.4
Angola,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,67.2
Antigua and Barbuda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,17293.3
Antigua and Barbuda,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,33
Antigua and Barbuda,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,28.9
Antigua and Barbuda,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,36.9
Argentina,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,19690.7
Argentina,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,37
Argentina,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,30
Argentina,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,40.1
Armenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,12619.9
Armenia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,10.7
Armenia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,28.6
Armenia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,34.7
Australia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,48678.7
Australia,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,11.9
Australia,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,10.5
Australia,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,10.5
Austria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,51857.7
Austria,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,3.3
Austria,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,3.1
Austria,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,3.6
Azerbaijan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,13726.8
Azerbaijan,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,9.5
Azerbaijan,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,9.3
Azerbaijan,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,9.4
Bahamas,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,27555.7
Bahamas,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,17.2
Bahamas,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,17.6
Bahamas,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,16.9
Bahrain,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,41545.8
Bahrain,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,
Bahrain,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,
Bahrain,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,
Bangladesh,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,5684.1
Bangladesh,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,31.7
Bangladesh,210091M,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),20192021,2019-2021,%,31.6
Bangladesh,210091F,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),20192021,2019-2021,%,35.5
Barbados,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,2020,I$,13316.5
Barbados,210091,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),20192021,2019-2021,%,31.1
