Area,Item Code,Item,Year,Unit,GDP,Food_insecure,FI_F,FI_M
Afghanistan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1970.6,70,82.9,65.5
Albania,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,13253.7,30.9,33.1,26.6
Algeria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10735.4,19,15.6,18.7
Angola,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6142,,,
Antigua and Barbuda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,17293.3,,,
Argentina,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,19690.7,77.7,67.2,62.4
Armenia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,12619.9,33,36.9,28.9
Australia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,48678.7,37,40.1,30
Austria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,51857.7,10.7,34.7,28.6
Azerbaijan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,13726.8,11.9,10.5,10.5
Bahamas,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,27555.7,3.3,3.6,3.1
Bahrain,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,41545.8,9.5,9.4,9.3
Bangladesh,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5684.1,17.2,16.9,17.6
Barbados,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,13316.5,,,
Belarus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,19186.8,31.7,35.5,31.6
Belgium,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,48752.5,31.1,33.2,28.7
Belize,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5845.7,,,
Benin,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3323.1,4.8,3.7,4.9
Bermuda,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,76105.1,42.3,,
Bhutan,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10551.5,67.9,,
Bolivia (Plurinational State of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,7853.1,,,
Bosnia and Herzegovina,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14520.9,,,
Botswana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14667.8,,,
Brazil,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14064,12.6,13.7,11.1
Brunei Darussalam,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,62200.9,55.6,74.4,64
Bulgaria,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,22379.1,28.9,30.2,20.7
Burkina Faso,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2155.8,,,
Burundi,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,731.1,15.5,16.4,13.5
Cabo Verde,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6045.1,52.6,54.9,59.1
Cambodia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,4193.8,,,
Cameroon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3666.4,35.4,,
Canada,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,46064.3,50,51,45
Central African Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,937.9,55.8,,
Chad,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1509,6.5,12.8,10.6
Chile,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,23239.4,81.3,,
China,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,16517,,,
"China, Hong Kong SAR",22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,55917.6,17.4,20.6,17.5
"China, Macao SAR",22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,57729,,,
Colombia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,13400.3,,,
Comoros,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2984.4,,,
Congo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,3497.6,,,
Costa Rica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,19937.2,,,
Côte d'Ivoire,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5181.3,,,
Croatia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,27077,79.7,,
Cyprus,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,39007.7,88.7,87.5,88.6
Czechia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,38511.3,,,
Democratic Republic of the Congo,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1082.4,15.9,30,21.8
Denmark,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,55819.9,42.8,,
Djibouti,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5245.4,11.4,13.4,8.6
Dominica,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10256.3,,,
Dominican Republic,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,17003,,,
Ecuador,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,10325,5.8,5.7,5
Egypt,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,11951.4,,,
El Salvador,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,7982.6,72.3,,
Equatorial Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,17214.7,5.5,6.2,4.9
Estonia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,35257.2,49.2,49.2,49.3
Eswatini,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,8404.7,,,
Ethiopia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2296.9,,,
Fiji,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,11527,36.8,59.2,52
Finland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,47397.4,27.3,26.8,23.7
France,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,42320.5,46.5,49.4,39
Gabon,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14320.8,,,
Gambia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2158.4,,,
Georgia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,13966.3,7.9,8.2,7.3
Germany,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,51423.2,67,67.7,66.1
Ghana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5451.1,56.2,54.5,57.3
Greece,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,27072.6,19.3,,
Grenada,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14480.5,8.8,10.5,7.3
Guatemala,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,8393.3,5.9,5.3,6.2
Guinea,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2611.4,,,
Guinea-Bissau,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,1847.5,,,
Guyana,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,18680,58,56.6,59.5
Haiti,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,2934.2,38.8,41,35.1
Honduras,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,5138.4,3.5,3.2,3.5
Hungary,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,31167.7,36.6,43.3,39.4
Iceland,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,52375.7,6.8,16.4,13.2
India,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,6186.6,,,
Indonesia,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,11445.6,22.3,,
Iran (Islamic Republic of),22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,14971.2,55.9,49.8,40.4
Iraq,22013,"Gross domestic product per capita, PPP, (constant 2017 international $)",2020,I$,9437.5,73.3,73.4,71.2
