Area,Item,Year Code,Year,Unit,Value,Flag
Afghanistan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,57.7,E
Albania,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,114,E
Algeria,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,89.3,E
American Samoa,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Andorra,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Angola,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,52.7,E
Antigua and Barbuda,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Argentina,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,106.3,E
Armenia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,96,E
Australia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,106.7,E
Austria,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,108,E
Azerbaijan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,93.7,E
Bahamas,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Bahrain,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Bangladesh,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,60.3,E
Barbados,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,88.3,E
Belarus,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,90,E
Belgium,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,98.7,E
Belize,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,70,E
Benin,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,63,E
Bermuda,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Bhutan,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Bolivia (Plurinational State of),Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,74,E
Bosnia and Herzegovina,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,98,E
Botswana,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,71,E
Brazil,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,94.3,E
Brunei Darussalam,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Bulgaria,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,83.3,E
Burkina Faso,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,79.4,E
Burundi,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,0,O
Cabo Verde,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,70.7,E
Cambodia,Average protein supply (g/cap/day) (3-year average),20172019,2017-2019,g/capita/day,65.3,E
