Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2000","2000","%","57.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2001","2001","%","56.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2002","2002","%","54.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2003","2003","%","53.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2004","2004","%","52","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2005","2005","%","50.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2006","2006","%","49.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2007","2007","%","48.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2008","2008","%","46.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2009","2009","%","45.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","44.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","43.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","42.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","41.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","41","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","40.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","39.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","38.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","37.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","36.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","231","Ethiopia","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","35.3","X","Figure from international organizations",""
