Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2000","2000","%","42.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2001","2001","%","42.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2002","2002","%","42.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2003","2003","%","42.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2004","2004","%","41.8","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2005","2005","%","41.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2006","2006","%","41.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2007","2007","%","40.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2008","2008","%","40.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2009","2009","%","40.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","39.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","39.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","38.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","38.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","37.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","37.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","36.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","36.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","36","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","35.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","148","Chad","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","35","X","Figure from international organizations",""
