Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2000","2000","%","54.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2001","2001","%","54.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2002","2002","%","54","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2003","2003","%","53.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2004","2004","%","52.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2005","2005","%","52.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2006","2006","%","51.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2007","2007","%","50.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2008","2008","%","49.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2009","2009","%","48.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","47.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","46","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","44.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","43.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","42.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","41.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","39.9","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","38.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","37.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","36.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","004","Afghanistan","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","35.1","X","Figure from international organizations",""
