Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2000","2000","%","56","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2001","2001","%","54.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2002","2002","%","52.3","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2003","2003","%","50.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2004","2004","%","48.7","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2005","2005","%","47.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2006","2006","%","45.5","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2007","2007","%","44","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2008","2008","%","42.6","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2009","2009","%","41.4","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2010","2010","%","40.2","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2011","2011","%","39.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2012","2012","%","38.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2013","2013","%","37.1","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2014","2014","%","36","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2015","2015","%","35","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2016","2016","%","34","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2017","2017","%","33","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2018","2018","%","32","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2019","2019","%","31","X","Figure from international organizations",""
"FS","Suite of Food Security Indicators","050","Bangladesh","6121","Value","21025","Percentage of children under 5 years of age who are stunted (modelled estimates) (percent)","2020","2020","%","30.2","X","Figure from international organizations",""
