Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FS","Suite of Food Security Indicators","004","Afghanistan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","57.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","008","Albania","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","114","E","Estimated value",""
"FS","Suite of Food Security Indicators","012","Algeria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","89.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","016","American Samoa","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","020","Andorra","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","024","Angola","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","52.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","028","Antigua and Barbuda","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","032","Argentina","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","106.3","E","Estimated value",""
"FS","Suite of Food Security Indicators","051","Armenia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","96","E","Estimated value",""
"FS","Suite of Food Security Indicators","036","Australia","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","106.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","040","Austria","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","108","E","Estimated value",""
"FS","Suite of Food Security Indicators","031","Azerbaijan","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","93.7","E","Estimated value",""
"FS","Suite of Food Security Indicators","044","Bahamas","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
"FS","Suite of Food Security Indicators","048","Bahrain","6123","Value","21013","Average protein supply (g/cap/day) (3-year average)","20172019","2017-2019","g/capita/day","","O","Missing value",""
